doc_id,help,knowledge,punctuality,rating,review,staff
10001,3.0,2.0,1.0,2.0,"I was on time for my appointment, and proceeded to wait an hour and twenty minutes before I ran out of patience. I then politely asked for a refund, alerting them to my frustration with the wait time and their lackadaisical responses that I'd be seen ""in a few minutes."" Upon the request for refund, Dr. Shah stepped from behind the back office and said that she would be able to see me. I refused, and repeated my request for a refund of my copay. I then proceeded to wait another eight minutes for someone to process the refund. I left that office without so much as an apology, and will never visit that PCP again. I hope that this review will incite a change in that office's operations and customer service.",2.0
10001,1.0,1.0,1.0,1.0,"It would be very hard to find a more uncaring, rude and unprofessional doctor. She has the manners of a warthog and a filthy mouth and is always putting people down. She never sees a patient after the first visit and never looks at you only at her iPad which she carries around so she does not have to speak to patients directly. She barely looked up from her computer when I was trying to tell her my issues. Perhaps this is common practice in India where she got her degree, but her performance with me was more like an inebriated dentist pretending to be a doctor from the 1880’s old west. After a procedure in the hospital from my cardiologist, Dr. Kalani (a good doctor) she visited me as she had to because she was my primary, and was very very rude to me after I complimented on how nice her sweater was. “You do not talk to me in that fashion. I am doctor and you are patient you will answer my questions and not talk to me like that.” Yes I did tell the hospital staff about her rudeness.",1.0
10001,1.0,1.0,1.0,1.0,,1.0
10001,1.0,2.0,1.0,1.5,"I had been a patient with Dr Shah for more than 3 years. At first, she was really great very caring etc Everything changed last year!!For more than a year I only saw the NP Calls were never returned. There were times when the office was closed even when I had an appt The straw that broke the camels back was this: I had a scheduled appt for Mon (11-18-2013). I called the business office to see if the dr was going to be there. The office manager said ""no and she dropped your insurance (United Healthcare Medicaid). "" WHAT?!? I was never told before hand and I needed diabetic medicine and cholestrol medicine. Since she dropped the insurance, I couldn't get any refills. I had blood work done and an MRI for my kidneys and now I have no dr to let me know what the results are. Now begins the arduous task of finding a new primary care dr. This is very stressful to me because I am disabled and on many, many meds. Take my advise and beware of Dr. Shah.",2.0
10001,1.0,1.0,1.0,1.0,,1.0
10001,1.0,1.0,1.0,1.0,"This lady does not care about her patients. I have been to several doctors over the last 38 years and she is the worst. I will never go back to her. She is very unprofessional and so is her staff. She never takes the time to listen to her patients. All she is concerned about is making money (she is in the wrong profession, the worst patient care ever). I am in the process of looking for a new doctor. If I should get sick before finding another one, I will try to remedy it myself. Going to her is futile and a waste of money. I honestly think she is ripping her patients off, billing them for services not performed.",1.0
10001,1.0,1.0,1.0,1.0,"Doctor only sees you the first visit, after that you wait hours to see her assistant. Wait times is normally at least 1 hour. Doctor does not listen to needs, seems to be all about making money.",1.0
10001,1.0,1.0,1.0,1.0,This practice is only about money. How much they can make from you. They do not care about you. They focus on making as much out of you as possible.,1.0
10001,1.0,2.0,1.0,1.75,"I have been seeing Dr Shah for years for my blood pressure and it wasn't until my last visit that i realized that it's all about money not the patients. I had been there the week before my bp was 178/97 Massa dr Shah's P.A {the Only reason I stayed with Dr Shah} upped my bp meds and wanted me to see Dr shah the next week when i came for my appt with dr shah she refused to see me unless i paid half of my bill from the hospital. I was just waiting for my insurance to send me my payment that same week, i have always paid my bills with dr shah for the 5 years I've been seeing her, luckily i had a visa gift card that had enough on it to cover the bill needless to say I was very disappointed in Dr shah I will not be returning, Its scary to think what if I hadn't had that money and my bp was still high I could have had a stroke. In my opinion she just doesn't care.",3.0
10001,2.0,1.0,2.0,1.5,Not the best take for ever to see her and when you get to see her for about 3 mins and that is on your first vist she really not care about you.her staff is bad to they will not do what they say there going to do.she don't let you talk at all.and you can talk to the staff you have to talk to some guy who has no idea what you are talking about.then he give to the nurse if are lucky she call you back in 48 to 58 hours.,1.0
